County,Range of Years,Birth Defect,Average Annual Count,"Prevalence per 10,000 Live Births",95% Lower Confidence Interval,95% Upper Confidence Interval,Stability
Barnstable (includes Dukes and Nantucket),,Cleft lip with cleft palate,NS,NS,NS,NS,        
Berkshire,,Cleft lip with cleft palate,NS,NS,NS,NS,        
Bristol,,Cleft lip with cleft palate,2,3.2,1.5,6.0,Unstable
Essex,,Cleft lip with cleft palate,3,3.3,1.8,5.6,        
Franklin,,Cleft lip with cleft palate,NS,NS,NS,NS,        
Hampden,,Cleft lip with cleft palate,2,3.8,1.8,6.9,Unstable
Hampshire,,Cleft lip with cleft palate,NS,NS,NS,NS,        
Middlesex,,Cleft lip with cleft palate,8,4.3,3.1,6.0,        
Norfolk,,Cleft lip with cleft palate,4,5.0,2.9,7.9,        
Plymouth,,Cleft lip with cleft palate,NS,NS,NS,NS,        
Suffolk,,Cleft lip with cleft palate,4,3.8,2.3,6.0,        
Worcester,,Cleft lip with cleft palate,5,6.0,3.9,8.8,        
Statewide,,Cleft lip with cleft palate,30,4.1,3.5,4.9,        
