County,Range of Years,Birth Defect,Average Annual Count,"Prevalence per 10,000 Live Births",95% Lower Confidence Interval,95% Upper Confidence Interval,Stability
Barnstable (includes Dukes and Nantucket),,Spina bifida without anencephaly,NS,NS,NS,NS,        
Berkshire,,Spina bifida without anencephaly,0,NC,NC,NC,        
Bristol,,Spina bifida without anencephaly,2,2.8,1.2,5.5,Unstable
Essex,,Spina bifida without anencephaly,3,3.1,1.6,5.3,        
Franklin,,Spina bifida without anencephaly,NS,NS,NS,NS,        
Hampden,,Spina bifida without anencephaly,2,4.5,2.3,7.9,        
Hampshire,,Spina bifida without anencephaly,NS,NS,NS,NS,        
Middlesex,,Spina bifida without anencephaly,2,1.3,0.6,2.3,Unstable
Norfolk,,Spina bifida without anencephaly,NS,NS,NS,NS,        
Plymouth,,Spina bifida without anencephaly,NS,NS,NS,NS,        
Suffolk,,Spina bifida without anencephaly,NS,NS,NS,NS,        
Worcester,,Spina bifida without anencephaly,2,2.5,1.3,4.6,Unstable
Statewide,,Spina bifida without anencephaly,15,2,1.6,2.5,        
