County,Range of Years,Birth Defect,Average Annual Count,"Prevalence per 10,000 Live Births",95% Lower Confidence Interval,95% Upper Confidence Interval,Stability
Barnstable (includes Dukes and Nantucket),,Trisomy 21,2,12.0,6.0,21.4,Unstable
Berkshire,,Trisomy 21,1,12.7,5.1,26.3,Unstable
Bristol,,Trisomy 21,6,10.9,7.4,15.5,        
Essex,,Trisomy 21,12,14.2,10.8,18.2,        
Franklin,,Trisomy 21,NS,NS,NS,NS,        
Hampden,,Trisomy 21,7,12.8,8.9,17.9,        
Hampshire,,Trisomy 21,2,16.6,7.6,31.6,Unstable
Middlesex,,Trisomy 21,19,10.7,8.7,13.1,        
Norfolk,,Trisomy 21,8,11.6,8.4,15.7,        
Plymouth,,Trisomy 21,5,9.7,6.3,14.4,        
Suffolk,,Trisomy 21,10,10.3,7.6,13.7,        
Worcester,,Trisomy 21,14,15.7,12.2,19.9,        
Statewide,,Trisomy 21,86,12,10.9,13.2,        
