Geography,Cancer Type,Sex,Annual Average Case Count,"Cancer Rate per 100,000 Population",Stability
Barnstable,Bladder,Female,29,11.8,Stable
Berkshire,Bladder,Female,13,12.3,Stable
Bristol,Bladder,Female,44,11.3,Stable
Dukes,Bladder,Female,NS,NS,NS
Essex,Bladder,Female,68,12.7,Stable
Franklin,Bladder,Female,6,11.9,Stable
Hampden,Bladder,Female,28,8.9,Stable
Hampshire,Bladder,Female,9,8.5,Stable
Middlesex,Bladder,Female,106,10.7,Stable
Nantucket,Bladder,Female,NS,NS,NS
Norfolk,Bladder,Female,51,10.6,Stable
Plymouth,Bladder,Female,46,13.1,Stable
Suffolk,Bladder,Female,37,9.5,Stable
Worcester,Bladder,Female,66,12.7,Stable
Statewide,Bladder,Female,506,11.2,Stable
