County,Range of Years,Birth Defect,Average Annual Count,"Prevalence per 10,000 Live Births",95% Lower Confidence Interval,95% Upper Confidence Interval,Stability
Barnstable (includes Dukes and Nantucket),,Limb deficiencies (upper/lower),NS,NS,NS,NS,        
Berkshire,,Limb deficiencies (upper/lower),NS,NS,NS,NS,        
Bristol,,Limb deficiencies (upper/lower),3,4.9,2.7,8.3,        
Essex,,Limb deficiencies (upper/lower),4,4.5,2.7,7.0,        
Franklin,,Limb deficiencies (upper/lower),0,NC,NC,NC,        
Hampden,,Limb deficiencies (upper/lower),NS,NS,NS,NS,        
Hampshire,,Limb deficiencies (upper/lower),NS,NS,NS,NS,        
Middlesex,,Limb deficiencies (upper/lower),7,3.9,2.7,5.4,        
Norfolk,,Limb deficiencies (upper/lower),2,2.5,1.1,4.7,Unstable
Plymouth,,Limb deficiencies (upper/lower),4,8.6,5.4,13.0,        
Suffolk,,Limb deficiencies (upper/lower),3,3.4,1.9,5.5,        
Worcester,,Limb deficiencies (upper/lower),5,5.3,3.4,8.0,        
Statewide,,Limb deficiencies (upper/lower),30,4.1,3.5,4.8,        
